name,party,constituency,county,status,gender,image_local_path
"HON. MEJJADONK, BENJAMIN GATHIRU",UDA,EMBAKASI CENTRAL,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MEJJADONK_BENJAMIN_GATHIRU.webp
HON. (AMB.) LANGAT BENJAMIN KIPKIRUI,UDA,AINAMOI,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AMB_LANGAT_BENJAMIN_KIPKIRUI.webp
HON. (DR.) GICHUKI EDWIN MUGO,UDA,MATHIOYA,MURANGÁ,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_GICHUKI_EDWIN_MUGO.webp
HON. (DR.) JACKSON KIPKEMOI KOSGEI,UDA,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_JACKSON_KIPKEMOI_KOSGEI.webp
HON. (DR.) MUTUNGA JOHN KANYUITHIA,UDA,TIGANIA WEST,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_MUTUNGA_JOHN_KANYUITHIA.webp
HON. (DR.) PUKOSE ROBERT,UDA,ENDEBESS,TRANS NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_PUKOSE_ROBERT.webp
HON. (ENG.) NZAMBIA KITHUA THUDDEUS,WDM,KILOME,MAKUENI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ENG_NZAMBIA_KITHUA_THUDDEUS.webp
HON. ABDI ALI ABDI,NAP-K,IJARA,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_ALI_ABDI.webp
HON. ABDI KHAMIS CHOME,WDM,VOI,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_KHAMIS_CHOME.webp
"HON. ABDI, YUSUF HASSAN",JP,KAMUKUNJI,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_YUSUF_HASSAN.webp
HON. ABDIRAHMAN MOHAMED ABDI,JP,LAFEY,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDIRAHMAN_MOHAMED_ABDI.webp
"HON. ABDIRAHMAN, HUSSEINWEYTAN MOHAMED",ODM,MANDERA EAST,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDIRAHMAN_HUSSEINWEYTAN_MOHAMED.webp
HON. ABDULLAIH BASHIR SHEIKH,UDM,MANDERA NORTH,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDULLAIH_BASHIR_SHEIKH.webp
HON. ABUBAKAR TALIB AHMED,WDM,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABUBAKAR_TALIB_AHMED.webp
HON. ABUOR PAUL,ODM,RONGO,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABUOR_PAUL.webp
"HON. ABURI, LAWRENCE MPURU",NOPEU,TIGANIA EAST,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABURI_LAWRENCE_MPURU.webp
HON. ADHE WARIO GUYO,KANU,NORTH HORR,MARSABIT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ADHE_WARIO_GUYO.webp
HON. ADOW ADEN MOHAMMED,ODM,WAJIR SOUTH,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ADOW_ADEN_MOHAMMED.webp
HON. AHMED SHAKEEL AHMED SHABBIR,IND.,KISUMU EAST,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AHMED_SHAKEEL_AHMED_SHABBIR.webp
"HON. AKUJAH, PROTUS EWESIT",UDA,LOIMA,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AKUJAH_PROTUS_EWESIT.webp
HON. ALFAH ONDIEKI MIRUKA,UDA,BOMACHOGE CHACHE,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ALFAH_ONDIEKI_MIRUKA.webp
HON. ALI ABDISIRAT KHALIF,UDA,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ALI_ABDISIRAT_KHALIF.webp
HON. AMOLLO PAUL OTIENDE,ODM,RARIEDA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AMOLLO_PAUL_OTIENDE.jpeg
HON. ARAMA SAMUEL,JP,NAKURU TOWN WEST,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ARAMA_SAMUEL.webp
HON. ARIKO JOHN NAMOIT,ODM,TURKANA SOUTH,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ARIKO_JOHN_NAMOIT.webp
HON. ATANDI SAMUEL ONUNGA,ODM,ALEGO USONGA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ATANDI_SAMUEL_ONUNGA.webp
HON. BABU OWINO PAUL ONGILI,ODM,EMBAKASI EAST,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/BABU_OWINO_PAUL.png
HON. BADY BADY TWALIB,ODM,JOMVU,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BADY_BADY_TWALIB.webp
HON. BARASA PATRICK SIMIYU,DAP-K,CHERANGANY,TRANS NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARASA_PATRICK_SIMIYU.webp
HON. BARONGO NOLFASON OBADIAH,ODM,BOMACHOGE BORABU,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARONGO_NOLFASON_OBADIAH.webp
HON. BARRE HUSSEIN ABDI,UDA,TARBAJ,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARRE_HUSSEIN_ABDI.webp
HON. BARTOO PHYLIS JEPKEMOI,UDA,MOIBEN,UASIN GISHU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARTOO_PHYLIS_JEPKEMOI.webp
HON. BASIL ROBERT NGUI,WDM,YATTA,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BASIL_ROBERT_NGUI.webp
HON. BAYA OWEN YAA,UDA,KILIFI NORTH,KILIFI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BAYA_OWEN_YAA.webp
HON. BEDZIMBA RASHID JUMA,ODM,KISAUNI,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BEDZIMBA_RASHID_JUMA.webp
"HON. BIDU, MOHAMED TUBI",JP,ISIOLO SOUTH,ISIOLO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BIDU_MOHAMED_TUBI.webp
HON. BIEGO PAUL KIBICHIY,UDA,CHESUMEI,NANDI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BIEGO_PAUL_KIBICHIY.webp
"HON. BISAU, MAURICE KAKAI",DAP-K,KIMININI,TRANS-NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BISAU_MAURICE_KAKAI.png
HON. BOWEN DAVID KANGOGO,UDA,MARAKWET EAST,ELGEYO-MARAKWET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BOWEN_DAVID_KANGOGO.webp
HON. BUYU ROZAAH AKINYI,ODM,KISUMU WEST,KISUMU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BUYU_ROZAAH_AKINYI.webp
HON. BWIRE JOHN OKANO,WDM,TAVETA,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BWIRE_JOHN_OKANO.webp
"HON. CHEBOR, PAUL KIBET",UDA,RONGAI,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEBOR_PAUL_KIBET.webp
HON. CHEGE JOHN KIRAGU,UDA,LIMURU,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEGE_JOHN_KIRAGU.webp
HON. CHEGE NJUGUNA,UDA,KANDARA,MURANG'A,ELECTED,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEGE_NJUGUNA.webp
HON. CHEGE SABINA WANJIRU,JP,,,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEGE_SABINA_WANJIRU.webp
"HON. CHEPKONGA, SAMUEL KIPRONO",UDA,AINABKOI,UASIN GISHU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEPKONGA_SAMUEL_KIPRONO.webp
HON. CHEPKWONY CHARITY KATHAMBI,UDA,NJORO,NAKURU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEPKWONY_CHARITY_KATHAMBI.webp
HON. CHEROROT JOSEPH KIMUTAI,UDA,KIPKELION EAST,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEROROT_JOSEPH_KIMUTAI.webp
HON. CHESEBE FRED KAPONDI,UDA,MT. ELGON,BUNGOMA,UDA,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHESEBE_FRED_KAPONDI.webp
"HON. CHIFOROMODO, MANGALE MUNGA",UDM,LUNGA LUNGA,KWALE,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHIFOROMODO_MANGALE_MUNGA.webp
HON. CHIKATI JOHN MURUMBA,FORD-K,TONGAREN,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHIKATI_JOHN_MURUMBA.webp
"HON. CHUMEL, MOROTO SAMUEL",UDA,KAPENGURIA,WEST POKOT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHUMEL_MOROTO_SAMUEL.webp
HON. CPA RUTTO JULIUS KIPLETTING,UDA,KESSES,UASIN GISHU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CPA_RUTTO_JULIUS_KIPLETTING.webp
"HON. DAWOOD, ABDUL RAHIM",IND,NORTH IMENTI,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DAWOOD_ABDUL_RAHIM.webp
HON. DENA JOSEPH HAMISI,ANC,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DENA_JOSEPH_HAMISI.webp
HON. EKWOM NABUIN,ODM,TURKANA NORTH,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_EKWOM_NABUIN.webp
HON. ELACHI BEATRICE KADEVERESIA,ODM,DAGORETTI NORTH,NAIROBI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ELACHI_BEATRICE_KADEVERESIA.webp
HON. ERIC WAMUMBI,UDA,MATHIRA,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ERIC_WAMUMBI.webp
HON. FARAH SALAH YAKUB,UDA,FAFI,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_FARAH_SALAH_YAKUB.webp
HON. FARAH YUSSUF MOHAMED,ODM,WAJIR WEST,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_FARAH_YUSSUF_MOHAMED.webp
HON. GACHAGUA GEORGE,UDA,NDARAGWA,NYANDARUA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GACHAGUA_GEORGE.webp
HON. GACHOBE SAMUEL KINUTHIA,UDA,SUBUKIA,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GACHOBE_SAMUEL_KINUTHIA.webp
HON. GAKUYA JAMES MWANGI,UDA,EMBAKASI NORTH,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GAKUYA_JAMES_MWANGI.webp
HON. GIDEON KIMAIYO,UDA,KEIYO SOUTH,ELGEYO-MARAKWET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GIDEON_KIMAIYO.webp
"HON. GIKARIA, DAVID",UDA,NAKURU TOWN EAST,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GIKARIA_DAVID.webp
"HON. GIMOSE, CHARLES GUMINI",ANC,HAMISI,VIHIGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GIMOSE_CHARLES_GUMINI.webp
HON. GISAIRO CLIVE OMBANE,ODM,KITUTU MASABA,NYAMIRA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GISAIRO_CLIVE_OMBANE.webp
"HON. GITARI, JOSEPH GACHOKI",UDA,KIRINYAGA CENTRAL,KIRINYAGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GITARI_JOSEPH_GACHOKI.webp
"HON. GITHINJI, ROBERT GICHIMU",UDA,GICHUGU,KIRINYAGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GITHINJI_ROBERT_GICHIMU.webp
"HON. GOGO, LILIAN ACHIENG",ODM,RANGWE,HOMA BAY,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GOGO_LILIAN_ACHIENG.webp
HON. GUYO ALI WARIO,ODM,GARSEN,TANA RIVER,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_GUYO_ALI_WARIO.webp
HON. HAMISI KAKUTA MAIMAI,ODM,KAJIADO EAST,KAJIADO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_HAMISI_KAKUTA_MAIMAI.webp
HON. HARO ABDUL EBRAHIM,UDM,MANDERA SOUTH,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_HARO_ABDUL_EBRAHIM.webp
HON. HASSAN KULOW MAALIM,UDM,BANISSA,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_HASSAN_KULOW_MAALIM.webp
HON. HIRIBAE SAID BUYA,ODM,GALOLE,TANA RIVER,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_HIRIBAE_SAID_BUYA.webp
HON. ICHUNG’WAH ANTONY KIMANI,UDA,KIKUYU,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ICHUNGWAH_ANTONY_KIMANI.webp
HON. IKANA FREDRICK LUSULI,ANC,SHINYALU,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_IKANA_FREDRICK_LUSULI.webp
"HON. IKIARA, DOROTHY MUTHONI",UDA,,,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_IKIARA_DOROTHY_MUTHONI.webp
HON. ITHINJI SHADRACK MWITI,JP,SOUTH IMENTI,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ITHINJI_SHADRACK_MWITI.webp
HON. JALDESA GUYO WAQO,UPIA,MOYALE,MARSABIT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_JALDESA_GUYO_WAQO.webp
HON. JHANDA ZAHEER,UDA,NYARIBARI CHACHE,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_JHANDA_ZAHEER.webp
HON. JOSEPH WAINAINA IRAYA,UDA,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/JOSEPH_WANAINA_IRAYA.png
HON. JUNET SHEIKH NUH MOHAMED,ODM,SUNA EAST,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_JUNET_SHEIKH_NUH_MOHAMED.webp
HON. KAGESI ERNEST OGESI KIVAI,ANC,VIHIGA,VIHIGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAGESI_ERNEST_OGESI_KIVAI.webp
HON. KAGOMBE GABRIEL GATHUKA,UDA,GATUNDU SOUTH,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAGOMBE_GABRIEL_GATHUKA.webp
HON. KAGUCHIA JOHN PHILIP GICHOHI,UDA,MUKURWEINI,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAGUCHIA_JOHN_PHILIP_GICHOHI.webp
HON. KAHANGARA JOSEPH MBURU,UDA,LARI,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAHANGARA_JOSEPH_MBURU.webp
"HON. KAJWANG’, FRANCIS TOM JOSEPH",ODM,RUARAKA,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAJWANG_FRANCIS_TOM_JOSEPH.webp
HON. KALUMA GEORGE PETER OPONDO,ODM,HOMA BAY TOWN,HOMA BAY,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KALUMA_GEORGE_PETER_OPONDO.webp
HON. KAMKET KASSAIT WILLIAM,KANU,TIATY,BARINGO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAMKET_KASSAIT_WILLIAM.webp
"HON. KAMUREN, CHARLES",UDA,BARINGO SOUTH,BARINGO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAMUREN_CHARLES.webp
"HON. KANCHORY, ELIJAH MEMUSI",ODM,KAJIADO CENTRAL,KAJIADO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KANCHORY_ELIJAH_MEMUSI.webp
"HON. KANDIE, JOSHUA CHEPYEGON",UDA,BARINGO CENTRAL,BARINGO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KANDIE_JOSHUA_CHEPYEGON.webp
HON. KARANI STEPHEN WACHIRA,UDA,LAIKIPIA WEST,LAIKIPIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KARANI_STEPHEN_WACHIRA.webp
"HON. KARAURI, RONALD KAMWIKO",IND,KASARANI,NAIROBI,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KARAURI_RONALD_KAMWIKO.webp
"HON. KAREMBA, ERIC MUCHANGI.N.",UDA,RUNYENJES,EMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KAREMBA_ERIC_MUCHANGIN.webp
HON. KARIUKI GEORGE MACHARIA,UDA,NDIA,KIRINYAGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KARIUKI_GEORGE_MACHARIA.webp
HON. KATANA PAUL KAHINDI,ODM,KALOLENI,KILIFI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_KATANA_PAUL_KAHINDI.webp
