name,position,party,gender,start_year,end_year,image_path
Emilio Stanley Mwai Kibaki,President,NARC,male,2002,2007,
Michael Kijana Wamalwa,Vice President,NARC,male,2002,2003,
Moody Awori,Vice President,NARC,male,2003,2007,
Emilio Stanley Mwai Kibaki,President,PNU,male,2007,2013,
Kalonzo Musyoka,Vice President,,male,2002,2007,
Uhuru Muigai Kenyatta,President,TNA,male,2013,2017,
William Samoei Arap Ruto,Deputy President,TNA,male,2013,2017,
Uhuru Muigai Kenyatta,President,JP,male,2017,2022,
William Samoei Arap Ruto,Deputy President,JP,male,2017,2022,
William Samoei Arap Ruto,President,UDA,male,2022,,
Geoffrey Rigathi Gachagua,Deputy President,UDA,male,2022,2024,
Abraham Kithure Kindiki,Deputy President,UDA,male,2024,,